tau1,tau2,rmse,ratio_small,ratio_lm,ratio_fusion,est_cost,rmse_norm,cost_norm,score
0.4,0.18,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.4,0.2,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.45,-0.2,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.45,-0.18,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.45,-0.16,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.45,-0.14,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.45,-0.12,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.45,-0.1,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.45,-0.08,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.45,-0.06,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.45,-0.04,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.45,-0.02,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.45,0.0,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.45,0.02,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.45,0.04,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.45,0.06,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.45,0.08,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.45,0.1,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.45,0.12,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.45,0.14,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.45,0.16,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.45,0.18,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.45,0.2,13.888484001159668,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.5,-0.2,13.973450660705566,0.9790209790209791,0.02097902097902098,0.0006357279084551812,1.305034965034965,0.12954774468505856,0.026763990267639908,0.07815586747634923
0.5,-0.18,13.973450660705566,0.9790209790209791,0.02097902097902098,0.0006357279084551812,1.305034965034965,0.12954774468505856,0.026763990267639908,0.07815586747634923
0.5,-0.16,13.985923767089844,0.9790209790209791,0.02097902097902098,0.0003178639542275906,1.305034965034965,0.14856535476807065,0.026763990267639908,0.08766467251785527
0.5,-0.14,13.985923767089844,0.9790209790209791,0.02097902097902098,0.0003178639542275906,1.305034965034965,0.14856535476807065,0.026763990267639908,0.08766467251785527
0.5,-0.12,13.985923767089844,0.9790209790209791,0.02097902097902098,0.0003178639542275906,1.305034965034965,0.14856535476807065,0.026763990267639908,0.08766467251785527
0.5,-0.1,13.985923767089844,0.9790209790209791,0.02097902097902098,0.0003178639542275906,1.305034965034965,0.14856535476807065,0.026763990267639908,0.08766467251785527
0.5,-0.08,13.985923767089844,0.9790209790209791,0.02097902097902098,0.0003178639542275906,1.305034965034965,0.14856535476807065,0.026763990267639908,0.08766467251785527
0.5,-0.06,13.985923767089844,0.9790209790209791,0.02097902097902098,0.0003178639542275906,1.305034965034965,0.14856535476807065,0.026763990267639908,0.08766467251785527
0.5,-0.04,13.985923767089844,0.9790209790209791,0.02097902097902098,0.0003178639542275906,1.305034965034965,0.14856535476807065,0.026763990267639908,0.08766467251785527
0.5,-0.02,13.985923767089844,0.9790209790209791,0.02097902097902098,0.0003178639542275906,1.305034965034965,0.14856535476807065,0.026763990267639908,0.08766467251785527
0.5,0.0,13.985923767089844,0.9790209790209791,0.02097902097902098,0.0003178639542275906,1.305034965034965,0.14856535476807065,0.026763990267639908,0.08766467251785527
0.5,0.02,13.985923767089844,0.9790209790209791,0.02097902097902098,0.0003178639542275906,1.305034965034965,0.14856535476807065,0.026763990267639908,0.08766467251785527
0.5,0.04,13.985923767089844,0.9790209790209791,0.02097902097902098,0.0003178639542275906,1.305034965034965,0.14856535476807065,0.026763990267639908,0.08766467251785527
0.5,0.06,13.985923767089844,0.9790209790209791,0.02097902097902098,0.0003178639542275906,1.305034965034965,0.14856535476807065,0.026763990267639908,0.08766467251785527
0.5,0.08,13.985923767089844,0.9790209790209791,0.02097902097902098,0.0003178639542275906,1.305034965034965,0.14856535476807065,0.026763990267639908,0.08766467251785527
0.5,0.1,13.985923767089844,0.9790209790209791,0.02097902097902098,0.0003178639542275906,1.305034965034965,0.14856535476807065,0.026763990267639908,0.08766467251785527
0.5,0.12,13.985923767089844,0.9790209790209791,0.02097902097902098,0.0003178639542275906,1.305034965034965,0.14856535476807065,0.026763990267639908,0.08766467251785527
0.5,0.14,13.985923767089844,0.9790209790209791,0.02097902097902098,0.0003178639542275906,1.305034965034965,0.14856535476807065,0.026763990267639908,0.08766467251785527
0.5,0.16,13.985923767089844,0.9790209790209791,0.02097902097902098,0.0003178639542275906,1.305034965034965,0.14856535476807065,0.026763990267639908,0.08766467251785527
0.5,0.18,13.985923767089844,0.9790209790209791,0.02097902097902098,0.0003178639542275906,1.305034965034965,0.14856535476807065,0.026763990267639908,0.08766467251785527
0.5,0.2,13.985923767089844,0.9790209790209791,0.02097902097902098,0.0003178639542275906,1.305034965034965,0.14856535476807065,0.026763990267639908,0.08766467251785527
0.55,-0.2,14.051033973693848,0.49872854418308965,0.5012714558169103,0.009218054672600126,8.288486967577876,0.24783818091666654,0.6394971613949716,0.44366767115581907
0.55,-0.18,14.043869018554688,0.49872854418308965,0.5012714558169103,0.008900190718372537,8.288486967577876,0.23691385149135344,0.6394971613949716,0.43820550644316253
0.55,-0.16,14.060650825500488,0.49872854418308965,0.5012714558169103,0.007310870947234584,8.288486967577876,0.262500890609846,0.6394971613949716,0.4509990260024088
0.55,-0.14,14.07058048248291,0.49872854418308965,0.5012714558169103,0.006357279084551812,8.288486967577876,0.27764053096341446,0.6394971613949716,0.458568846179193
0.55,-0.12,14.082690238952637,0.49872854418308965,0.5012714558169103,0.006039415130324221,8.288486967577876,0.29610414537079177,0.6394971613949716,0.4678006533828817
0.55,-0.1,14.084741592407227,0.49872854418308965,0.5012714558169103,0.0050858232676414495,8.288486967577876,0.29923182174425755,0.6394971613949716,0.4693644915696146
0.55,-0.08,14.097285270690918,0.49872854418308965,0.5012714558169103,0.004132231404958678,8.288486967577876,0.3183570320372355,0.6394971613949716,0.47892709671610356
0.55,-0.06,14.094049453735352,0.49872854418308965,0.5012714558169103,0.003814367450731087,8.288486967577876,0.31342341700461374,0.6394971613949716,0.47646028919979266
0.55,-0.04,14.094049453735352,0.49872854418308965,0.5012714558169103,0.003814367450731087,8.288486967577876,0.31342341700461374,0.6394971613949716,0.47646028919979266
0.55,-0.02,14.10301399230957,0.49872854418308965,0.5012714558169103,0.0034965034965034965,8.288486967577876,0.3270915517840551,0.6394971613949716,0.48329435658951336
0.55,0.0,14.1193208694458,0.49872854418308965,0.5012714558169103,0.003178639542275906,8.288486967577876,0.3519544705706155,0.6394971613949716,0.4957258159827935
